,nom_commune_postal,code_postal,latitude,longitude,code_departement,score
31500,SAVIGNY LE TEMPLE,77176,48.5884785769,2.57373861268,77,0
31501,SAVINS,77650,48.5115912505,3.20518344066,77,0
31502,SEINE PORT,77240,48.5514696661,2.55439654626,77,0
31503,SEPT SORTS,77260,48.940158615,3.10627084315,77,0
31504,SERRIS,77700,48.844790279,2.78754866071,77,0
31505,SERVON,77170,48.7150535859,2.59164264543,77,0
31506,SIGNY SIGNETS,77640,48.9173760452,3.06397097105,77,0
31507,SIGY,77520,48.4730612622,3.16363962665,77,1
31508,SIVRY COURTRY,77115,48.530887524,2.75615007071,77,1
31509,SOGNOLLES EN MONTOIS,77520,48.5188148305,3.15220326867,77,0
31510,SOIGNOLLES EN BRIE,77111,48.645281445,2.70806809246,77,0
31511,SOISY BOUY,77650,48.5084866501,3.29987604926,77,1
31512,SOLERS,77111,48.6593859188,2.72669568972,77,0
31513,SOUPPES SUR LOING,77460,48.186873445,2.74753245184,77,0
31514,SOURDUN,77171,48.5369434021,3.3628787539,77,0
31515,TANCROU,77440,49.0038979102,3.07986260706,77,0
31516,THENISY,77520,48.4916945564,3.17799318925,77,1
31517,THIEUX,77230,49.0091475315,2.66309885608,77,0
31518,THOMERY,77810,48.4042073432,2.77997290314,77,1
31519,THORIGNY SUR MARNE,77400,48.8918979999,2.7123703432,77,0
31520,THOURY FEROTTES,77940,48.2974586378,2.93972064778,77,0
31521,TIGEAUX,77163,48.8251475937,2.89871358774,77,0
31522,LA TOMBE,77130,48.3867483242,3.09357430759,77,0
31523,TORCY,77200,48.8532553496,2.65123227423,77,1
31524,TOUQUIN,77131,48.7330599565,3.02878980311,77,0
31525,TOURNAN EN BRIE,77220,48.739865817,2.77820566994,77,0
31526,TOUSSON,77123,48.3433486346,2.45792608191,77,0
31527,LA TRETOIRE,77510,48.8788972003,3.24649489754,77,0
31528,TREUZY LEVELAY,77710,48.2730119814,2.79481734896,77,1
31529,TRILBARDOU,77450,48.9487712002,2.80417897378,77,0
31530,TRILPORT,77470,48.958724925,2.9662410397,77,0
31531,TROCY EN MULTIEN,77440,49.04241911,2.96205647548,77,0
31532,URY,77760,48.3408766133,2.60035520757,77,1
31533,USSY SUR MARNE,77260,48.9665838811,3.08198151842,77,0
31534,VAIRES SUR MARNE,77360,48.8697812117,2.63565952774,77,0
31535,VALENCE EN BRIE,77830,48.4462252242,2.89307139548,77,0
31536,VANVILLE,77370,48.5547348508,3.11550566194,77,1
31537,VARENNES SUR SEINE,77130,48.3685393925,2.93052193046,77,0
31538,VARREDDES,77910,49.0058198768,2.92807790082,77,0
31539,VAUCOURTOIS,77580,48.8988382748,2.95694205944,77,0
31540,LE VAUDOUE,77123,48.3471336431,2.52187638095,77,0
31541,VAUDOY EN BRIE,77141,48.6975609206,3.08246340296,77,0
31542,VAUX LE PENIL,77000,48.5245871061,2.69727154378,77,0
31543,VAUX SUR LUNAIN,77710,48.2172127701,2.95608687154,77,0
31544,VENDREST,77440,49.0415084133,3.10843248735,77,0
31545,VENEUX LES SABLONS,77250,48.3811719817,2.79535158801,77,0
31546,VERDELOT,77510,48.8785255196,3.36521259688,77,0
31547,VERNEUIL L ETANG,77390,48.6370893938,2.8323243324,77,0
31548,VERNOU LA CELLE SUR SEINE,77670,48.4062374172,2.85382135685,77,0
31549,VERT ST DENIS,77240,48.5711806547,2.62717330981,77,0
31550,VIEUX CHAMPAGNE,77370,48.5871399765,3.1382187303,77,0
31551,VIGNELY,77450,48.9326287098,2.81578532754,77,1
31552,VILLEBEON,77710,48.2049138912,2.92837301126,77,0
31553,VILLECERF,77250,48.32726351,2.84591675983,77,0
31554,VILLEMARECHAL,77710,48.2716975707,2.86854814458,77,0
31555,VILLEMAREUIL,77470,48.9202287763,2.98474504505,77,1
31556,VILLEMER,77250,48.303657213,2.82605774417,77,0
31557,VILLENAUXE LA PETITE,77480,48.4004012721,3.31327470557,77,0
31558,VILLENEUVE LE COMTE,77174,48.8115357459,2.83836128857,77,0
31559,VILLENEUVE LES BORDES,77154,48.4947457361,3.03085746067,77,0
31560,VILLENEUVE ST DENIS,77174,48.8124542945,2.79328879273,77,0
31561,VILLENEUVE SOUS DAMMARTIN,77230,49.0287050139,2.6367073967,77,0
31562,VILLENEUVE SUR BELLOT,77510,48.8731734921,3.33324327712,77,0
31563,VILLENOY,77124,48.9414484528,2.85149852192,77,1
31564,VILLEPARISIS,77270,48.9419981883,2.61700200964,77,0
31565,VILLEROY,77410,48.9824706589,2.78307266843,77,1
31566,VILLE ST JACQUES,77130,48.3445385787,2.89832891808,77,0
31567,VILLEVAUDE,77410,48.9117801079,2.66224807334,77,0
31568,VILLIERS EN BIERE,77190,48.495422077,2.60034178878,77,0
