nom_commune_postal;code_postal;latitude;longitude;code_departement
ST JEAN DE THURIGNEUX;1390;45.9598424323;4.89936410681;1
ST JEAN LE VIEUX;1640;46.0291437714;5.38252835538;1
ST JEAN SUR REYSSOUZE;1560;46.3972479854;5.06297763777;1
ST JEAN SUR VEYLE;1290;46.2683632132;4.92198366998;1
STE JULIE;1150;45.8819723176;5.28452304614;1
ST JULIEN SUR REYSSOUZE;1560;46.3997655501;5.10354296019;1
ST JULIEN SUR VEYLE;1540;46.2014862081;4.959356342;1
ST JUST;1250;46.1929758576;5.28494181398;1
ST LAURENT SUR SAONE;1750;46.3051486294;4.83949202669;1
ST MARCEL;1390;45.9485803654;4.9896671017;1
ST MARTIN DE BAVEL;1510;45.848212674;5.67889099153;1
ST MARTIN DU FRENE;1430;46.135983782;5.57106016428;1
ST MARTIN DU MONT;1160;46.1061500835;5.32551470817;1
ST MARTIN LE CHATEL;1310;46.291445874;5.12291715091;1
ST MAURICE DE BEYNOST;1700;45.8343709108;4.97726215174;1
ST MAURICE DE GOURDANS;1800;45.8200191939;5.16980415584;1
ST MAURICE DE REMENS;1500;45.9527471237;5.2708276475;1
ST NIZIER LE BOUCHOUX;1560;46.4528537121;5.1759906585;1
ST NIZIER LE DESERT;1320;46.052861561;5.14246131764;1
STE OLIVE;1330;46.0142006121;4.93624894982;1
ST PAUL DE VARAX;1240;46.0956691617;5.12762470203;1
ST RAMBERT EN BUGEY;1230;45.9504631708;5.44017084612;1
ST REMY;1310;46.1846642149;5.16771354778;1
ST SORLIN EN BUGEY;1150;45.886308438;5.37608915006;1
ST SULPICE;1340;46.3209806116;5.04148389346;1
ST TRIVIER DE COURTES;1560;46.4612969335;5.06679195727;1
ST TRIVIER SUR MOIGNANS;1990;46.0618477991;4.90158948884;1
ST VULBAS;1150;45.8222315102;5.27019602929;1
SALAVRE;1270;46.3635396668;5.34742387197;1
SAMOGNAT;1580;46.2648715781;5.58607689306;1
SANDRANS;1400;46.0656961548;4.98282673172;1
SAULT BRENAZ;1150;45.8654038798;5.40416104083;1
SAUVERNY;1220;46.3126908233;6.11043836433;1
SAVIGNEUX;1480;45.997346828;4.8576200906;1
SEGNY;1170;46.2935928404;6.07287743792;1
SEILLONNAZ;1470;45.7976976614;5.49810658524;1
SERGY;1630;46.2626243003;5.98914553194;1
SERMOYER;1190;46.4981991944;4.97856020441;1
SERRIERES DE BRIORD;1470;45.8133219416;5.44125880379;1
SERRIERES SUR AIN;1450;46.1466977757;5.45023362942;1
SERVAS;1960;46.1385540577;5.17887070992;1
SERVIGNAT;1560;46.4346497878;5.05559973107;1
SEYSSEL;1420;45.9484118176;5.82616979887;1
SIMANDRE SUR SURAN;1250;46.2340471594;5.42240815305;1
SONTHONNAX LA MONTAGNE;1580;46.2229768712;5.50566888767;1
SOUCLIN;1150;45.8781798572;5.43058627512;1
SULIGNAT;1400;46.1735383313;4.95772382526;1
SURJOUX;1420;46.030402108;5.79957920623;1
SUTRIEU;1260;45.9311367808;5.64988248129;1
TALISSIEU;1510;45.8637167128;5.72090411074;1
TENAY;1230;45.922698278;5.51453923595;1
THEZILLIEU;1110;45.8931883593;5.59700638944;1
THIL;1120;45.8169214201;5.0184098869;1
THOIRY;1710;46.2435475879;5.96506297987;1
THOISSEY;1140;46.1700943481;4.79387095814;1
TORCIEU;1230;45.92125055;5.40400282244;1
TOSSIAT;1250;46.1384790158;5.30400055922;1
TOUSSIEUX;1600;45.959898291;4.82898610612;1
TRAMOYES;1390;45.8745670311;4.9639268325;1
LA TRANCLIERE;1160;46.0970027075;5.26099875456;1
VAL REVERMONT;1370;46.2803281838;5.36083165162;1
TREVOUX;1600;45.940671655;4.7714415007;1
VALEINS;1140;46.1146467438;4.86551696868;1
VANDEINS;1660;46.217806795;5.08189056957;1
VARAMBON;1160;46.0433928197;5.2947944594;1
VAUX EN BUGEY;1150;45.9201205456;5.36353184193;1
VERJON;1270;46.3459093717;5.34853019646;1
VERNOUX;1560;46.4848229774;5.10590413121;1
VERSAILLEUX;1330;45.9854373478;5.11204819151;1
VERSONNEX;1210;46.2997631425;6.10057952207;1
VESANCY;1170;46.3610768127;6.08470665475;1
VESCOURS;1560;46.4743960759;5.02617426573;1
VESINES;1570;46.3593397751;4.86265852202;1
VIEU D IZENAVE;1430;46.0853386653;5.54922100161;1
VIEU;1260;45.8898392612;5.68999399947;1
VILLARS LES DOMBES;1330;45.9927150222;5.04507856642;1
VILLEBOIS;1150;45.8485624628;5.44711117486;1
VILLEMOTIER;1270;46.3458538978;5.31036160991;1
VILLENEUVE;1480;46.0319048788;4.85182526102;1
VILLEREVERSURE;1250;46.1926750369;5.3947679407;1
VILLES;1200;46.0954293058;5.7569250415;1
VILLETTE SUR AIN;1320;46.0099989032;5.25214547187;1
